Year,Total books published,Est # entries,1st page entries,last page entries,# pages with entries,Est total entries per page,Est primary entries per page
1900,,,,,,,
1901,,,,,,,
1902,,,,,,,
1903,,,,,,,
1904,,,,,,,
1905,,,,,,,
1906,,,,,,,
1907,,,,,,,
1908,"9,821",19642,7,287,280,70.15,35.075
1909,"10,725",21450,1,296,295,72.71186441,36.3559322
1910,"10,804",21608,2,300,298,72.51006711,36.25503356
1911,"10,914",21828,1,300,299,73.00334448,36.50167224
1912,"12,067",24134,1,329,328,73.57926829,36.78963415
1913,"12,379",24758,1,346,345,71.76231884,35.88115942
1914,"11,537",23074,1,305,304,75.90131579,37.95065789
1915,"10,665",21330,1,305,304,70.16447368,35.08223684
1916,"9,149",18298,1,258,257,71.19844358,35.59922179
1917,"8,131",16262,1,249,248,65.57258065,32.78629032
1918,"7,716",15432,1,248,247,62.47773279,31.2388664
1919,"8,622",17244,1,262,261,66.06896552,33.03448276
1920,"11,004",22008,1,313,312,70.53846154,35.26923077
1921,"11,026",22052,1,294,293,75.26279863,37.63139932
1922,"10,842",21684,1,306,305,71.09508197,35.54754098